OperationId,ShelfIndex,PictureLeft,PictureRight
288916412756394,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/288916412756394/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/288916412756394/PicturesAfter/raw/camera-AR.jpg
288916412756394,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/288916412756394/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/288916412756394/PicturesAfter/raw/camera-BR.jpg
288916412756394,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/288916412756394/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/288916412756394/PicturesAfter/raw/camera-CR.jpg
288916412756394,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/288916412756394/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/288916412756394/PicturesAfter/raw/camera-DR.jpg
289874754744523,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/289874754744523/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/289874754744523/PicturesAfter/raw/camera-AR.jpg
289874754744523,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/289874754744523/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/289874754744523/PicturesAfter/raw/camera-BR.jpg
289874754744523,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/289874754744523/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/289874754744523/PicturesAfter/raw/camera-CR.jpg
289874754744523,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/289874754744523/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/289874754744523/PicturesAfter/raw/camera-DR.jpg
300535602155642,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/300535602155642/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/300535602155642/PicturesAfter/raw/camera-AR.jpg
300535602155642,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/300535602155642/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/300535602155642/PicturesAfter/raw/camera-BR.jpg
300535602155642,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/300535602155642/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/300535602155642/PicturesAfter/raw/camera-CR.jpg
300535602155642,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/300535602155642/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/300535602155642/PicturesAfter/raw/camera-DR.jpg
300607678761269,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/300607678761269/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/300607678761269/PicturesAfter/raw/camera-AR.jpg
300607678761269,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/300607678761269/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/300607678761269/PicturesAfter/raw/camera-BR.jpg
300607678761269,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/300607678761269/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/300607678761269/PicturesAfter/raw/camera-CR.jpg
300607678761269,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/300607678761269/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/300607678761269/PicturesAfter/raw/camera-DR.jpg
304745789898049,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/304745789898049/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/304745789898049/PicturesAfter/raw/camera-AR.jpg
304745789898049,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/304745789898049/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/304745789898049/PicturesAfter/raw/camera-BR.jpg
304745789898049,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/304745789898049/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/304745789898049/PicturesAfter/raw/camera-CR.jpg
304745789898049,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/304745789898049/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/304745789898049/PicturesAfter/raw/camera-DR.jpg
307709911354114,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/307709911354114/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/307709911354114/PicturesAfter/raw/camera-AR.jpg
307709911354114,1,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/307709911354114/PicturesAfter/raw/camera-BL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/307709911354114/PicturesAfter/raw/camera-BR.jpg
307709911354114,2,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/307709911354114/PicturesAfter/raw/camera-CL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/307709911354114/PicturesAfter/raw/camera-CR.jpg
307709911354114,3,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/307709911354114/PicturesAfter/raw/camera-DL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/307709911354114/PicturesAfter/raw/camera-DR.jpg
313137393878471,0,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/313137393878471/PicturesAfter/raw/camera-AL.jpg,https://nuministorageprod.blob.core.windows.net/operation-resources/Operations/313137393878471/PicturesAfter/raw/camera-AR.jpg
